Faculty Name,Publication,Date
Dr K Rachananjali,"• Rachananjali K, Suman S, Rambabu M and Ashok Kumar K “Implementation of phase imbalance scheme for stabilizing torsional oscillations” in International Journal of Electrical and Computer Engineering (IJECE) in Vol. 4, No. 5, October 2014, pp. 697~702. ISSN: 2088-8708. Impact Factor 0.684",2014 October
Dr D. Yakobu,"Yakobu Dasari, Katiki Rishitha and Ongole Gandhi, Prediction of Bank Loan Status Using Machine Learning Algorithms, (Unpaid Scopus - International Journal of Computing and Digital Systems), Http://Dx.Doi.Org/10.12785/Ijcds, ISSN (2210-142X) Int. J. Com. Dig. Sys. No. (Mon-20).",2023 December
Dr D. Yakobu,"Ongole Gandhi, Yakobu Dasari, Dr. M. Anusha, R Prathap Kumar, An Approach to Recommend Music Using Facial Emotion Gestures, (Unpaid Scopus - Journal of Data Acquisition and Processing), DOI: 10.5281/Zenodo.777518.",2023 June
Dr D. Yakobu,"D. Yakobu, Ch. Vramireddy, Clustering Student Learners Based on Performance using K-Means Algorithm, International Conference on Mobile and Embedded Technology Conference (MECON - 2022).",2022 March
Dr D. Yakobu,"Dasari Yakobu, Hemantha Kumar Kalluri, Venkatesulu Dondeti, An Enhanced Secure, Robust and Efficient Crypto Scheme for Ensuring Data Privacy in Public Cloud Using Obfuscation & Encryption, DOI: https://doi.org/10.18280/isi.240607. (Unpaid Scopus – Ingénierie des Systèmesd’Information).",2020 December
Dr D. Yakobu,"Venkata RamiReddy Chirra, Hoolda Daniel Maddiboyina, Yakobu Dasari, Ranganadha reddy Aluru, Performance Evaluation of Email Spam Text Classification Using Deep Neural Networks, (Scopus - Review of Computer Engineering Studies), Https://Doi.Org/10.18280/Rces.070403",2020 December
Dr D. Yakobu,"Sai Sudha Sonali Palakodati, Venkata Rami Reddy Chirra, Yakobu Dasari, Suneetha Bulla, Fresh and Rotten Fruits Classification Using CNN and Transfer Learning, DOI:https://doi.org/10.18280/ria.340512, (Scopus - Revue d'Intelligence Artificielle).",2020 November
Dr D. Yakobu,"Balaji Banothu, Teki Satyanarayana Murthy, ChirraVenkata Rami Reddy, Dasari Yakobu, High-Order Total Bounded Variation Approach for Gaussian Noise and Blur Removal, International Journal of Advanced Science and Technology Vol. 29, No. 3, (2020), pp. 10152 – 10161.",2020 August
Dr D. Yakobu,"Dasari Yakobu, ChirraVenkata Rami Reddy, Venkatramaphani Kumar Sistla, A Novel Energy Efficient Scheduling for VM Consolidation and Migration in Cloud Data Centers”, DOI: https://doi.org/10.18280/isi.240512. (Unpaid Scopus – Ingénierie des Systèmesd’Information).",2019 November
Dr D. Yakobu,"Yakobu Dasari, Shanmugam M, A Hybrid Secure Mechanism for Effective Storage Confidentiality to Ensure Data Integrity and Privacy in Public Cloud, (Unpaid Scopus - Jour of Adv Research in Dynamical & Control Systems), Vol. 11, Issue -07, 2019.",2019 July
Dr D. Yakobu,"Yakobu Dasari, Hemanth Kumar Kalluri, VenkatesuluDondeti, A Crypto Scheme Using Data Obfuscation of Entity Detection and Replacement for Private Cloud, DOI: https://doi.org/10.18280/ijsse.100315, (Unpaid Scopus – International Journal of Safety and Security Engineering).",2019 June
Dr D. Yakobu,"T. Satyanarayana Murthy, N.P. Gopalan, D.Yakobu, An Efficient un-realization algorithm for privacy preserving decision tree learning using McDiarmid's bound, International Journal of Innovative Technology and Exploring Engineering (IJITEE) ISSN: 2278-3075, Volume-8 Issue-4S2 March, 20.",2019 March
Dr D. Yakobu,"Ebenezer Jangam, A. Chandrasekhar Rao, Uppalapati Srilakshmi, D. Yakobu, Segmentation Of Lungs From Chest X-Ray Using Euler Number-Based Thresholding, Morphological Operators And Greedy Snakes, International Journal of Recent Technology And Engineering, Http://Ijrte.Org/.",2019 February
Dr D. Yakobu,"Padmavathi Chinthareddy, Gnaneswara Rao Nitta, S.V Ramakrishna, D.Yakobu, Collaborative Filtering Recommendation System Cuckoo Search Optimization and K-Nearest Neighbor Classifier, (Scopus - Journal Of Advanced Research In Dynamical And Control Systems), 10.5373/JARDCS/V11I11/20193021.",2017 December
Dr D. Yakobu,"S.Chaitanya Kumar, Gnaneswara Rao Nitta, S. Deva Kumar, D.Yakobu, Tamura Texture Feature Based Image Classification for the Detection of Tumour from MRI Bone, (Scopus - Journal Of Advanced Research In Dynamical And Control Systems), 10.5373/JARDCS/V11I11/20193021.",2017 September
Dr D. Yakobu,"Gowthami Garikapati, Yakobu D, GnaneswaraRao Nitta, Amudhavel J, An Analysis of Cloud Data Security Issues and Mechanisms, International Journal of Pure and Applied Mathematics, Volume 116 No. 6 2017, 141-147 ISSN: 1311-8080 (printed version); ISSN: 1314-3395 (on-line version) url: http://www.ijpam.eu Special Issue.",2017 June
Dr D. Yakobu,"Kanakamedala Vineela, D.S Bhupal Naik , D. Yakobu, Mining, Correlated High Utility Frequent Association Rules, (Scopus - Journal Of Advanced Research In Dynamical And Control Systems), Http://Www.Ijpam.Eu.",2017 June
